PTGES3|NM_006601
PTGES3|NM_001282604
NACA|NM_001113203
DCTN2|NM_001348065
DCTN2|NM_001261413
DCTN2|NM_006400
OS9|NM_001017958
OS9|NM_006812
UBE2N|NM_003348
SLC25A3|NM_005888
SLC25A3|NM_002635
TXNRD1|NM_001093771
TXNRD1|NM_182729
CKAP4|NM_006825
ISCU|NM_001320042
ISCU|NM_213595
CORO1C|NM_001105237
CORO1C|NM_001276471
CORO1C|NM_014325
PPP1CC|NM_001244974
RPL6|NM_001320138
RPL6|NM_001024662
RPL6|NM_001320142
RPL6|NM_001320141
PEBP1|NM_002567
TRIAP1|NM_016399
COQ5|NM_032314
ANAPC5|NM_001330489
ANAPC5|NM_001137559
RNF34|NM_001256858
RNF34|NM_194271
DIABLO|NM_001278304
DIABLO|NM_001371333
DIABLO|NM_001278302
DIABLO|NM_019887
RSRC2|NM_023012
DENR|NM_003677
ARL6IP4|NM_018694
CDK2AP1|NM_001270434
CDK2AP1|NM_001270433
CDK2AP1|NM_004642
TMED2|NM_001321445
UBC|NM_021009
RAN|NM_001300797
RAN|NM_006325
SAP18|NM_005870
SAP18|NM_001366643
POLR1D|NM_001206559
POLR1D|NM_015972
POMP|NM_015932
HMGB1|NM_001313892
HMGB1|NM_001370341
HMGB1|NM_002128
HMGB1|NM_001363661
HMGB1|NM_001370340
HMGB1|NM_001313893
ALG5|NM_013338
ALG5|NM_001142364
ESD|NM_001984
ITM2B|NM_021999
SUGT1|NM_001320831
FBXL3|NM_012158
TM9SF2|NM_004800
ANKRD10|NM_017664
LAMP1|NM_005561
CDC16|NM_003903
CDC16|NM_001318518
CCNB1IP1|NM_021178
CCNB1IP1|NM_182852
APEX1|NM_001244249
RAB2B|NM_001163380
RAB2B|NM_032846
DAD1|NM_001344
OXA1L|NM_005015
PSMB5|NM_002797
PSMB5|NM_001144932
PSMB5|NM_001130725
C14orf119|NM_017924
PABPN1|NM_004643
PABPN1|NM_001360551
PABPN1|NM_001360552
PSME1|NM_176783
PSME1|NM_001281529
NEDD8|NM_006156
NEDD8-MDP1|NM_001199823
PSMA6|NM_001282234
PSMA6|NM_001282233
PSMA6|NM_002791
KLHDC2|NM_014315
ARF6|NM_001663
ACTR10|NM_018477
TIMM9|NM_001304489
TIMM9|NM_012460
TIMM9|NM_001304487
MAX|NM_001320415
MAX|NM_001271069
ATP6V1D|NM_015994
VTI1B|NM_006370
ERH|NM_004450
ZNF410|NM_021188
EIF2B2|NM_014239
TMED10|NM_006827
AHSA1|NM_001321441
AHSA1|NM_012111
SNW1|NM_012245
ITPK1|NM_001363707
ITPK1|NM_001142594
DDX24|NM_020414
SETD3|NM_199123
YY1|NM_003403
EIF5|NM_001969
EIF5|NM_183004
CYFIP1|NM_001033028
CYFIP1|NM_001324124
CYFIP1|NM_001324120
CYFIP1|NM_001324119
SRP14|NM_003134
SRP14|NM_001309434
TMEM87A|NM_015497
TMEM87A|NM_001110503
MFAP1|NM_005926
DUT|NM_001330286
DUT|NM_001025249
DUT|NM_001025248
DUT|NM_001948
TCF12|NM_001322151
TCF12|NM_001322157
TCF12|NM_001322161
TCF12|NM_001322165
TCF12|NM_001306220
RPS27L|NM_015920
OAZ2|NM_002537
SPG21|NM_001127889
SPG21|NM_016630
RAB11A|NM_001206836
MAP2K1|NM_002755
RPL4|NM_000968
HEXA|NM_001318825
CLK3|NM_003992
CLK3|NM_001130028
SCAMP2|NM_005697
MAN2C1|NM_006715
MAN2C1|NM_001256495
PSMA4|NM_001330673
PSMA4|NM_002789
PSMA4|NM_001330676
ZFAND6|NM_001242912
ZFAND6|NM_019006
ZFAND6|NM_001242913
ZFAND6|NM_001242914
ZFAND6|NM_001242916
ZFAND6|NM_001242919
WDR73|NM_032856
SEC11A|NM_014300
SEC11A|NM_001271918
CIB1|NM_006384
CIB1|NM_001277764
NGRN|NM_001033088
TM2D3|NM_078474
TM2D3|NM_025141
STUB1|NM_005861
UBE2I|NM_194261
UBE2I|NM_003345
NDUFB10|NM_004548
ATP6V0C|NM_001198569
ATP6V0C|NM_001694
TRAP1|NM_001272049
DNAJA3|NM_001286516
DNAJA3|NM_001135110
MGRN1|NM_001142289
MGRN1|NM_015246
USP7|NM_001286458
USP7|NM_001321858
USP7|NM_003470
PARN|NM_001242992
UQCRC2|NM_003366
TUFM|NM_001365360
SIAH1|NM_001006610
SIAH1|NM_003031
FTO|NM_001363897
FTO|NM_001080432
POLR2C|NM_032940
CNOT1|NM_001265612
ATP6V0D1|NM_004691
CTCF|NM_001191022
CTCF|NM_001363916
NUTF2|NM_001322038
NUTF2|NM_001322040
VPS4A|NM_013245
TERF2|NM_005652
NOB1|NM_014062
TXNL4B|NM_001324355
TXNL4B|NM_001142317
TXNL4B|NM_001142318
PSMD7|NM_002811
GLG1|NM_001145666
TERF2IP|NM_018975
HSBP1|NM_001537
COX4I1|NM_001318794
TRAPPC2L|NM_001318525
TCF25|NM_014972
YWHAE|NM_006761
PRPF8|NM_006445
PSMB6|NM_001270481
PSMB6|NM_002798
PFN1|NM_001375991
SPAG7|NM_004890
RPAIN|NM_001160266
ACADVL|NM_001270447
ACADVL|NM_001270448
ACADVL|NM_000018
PHF23|NM_001284518
PHF23|NM_001284517
GABARAP|NM_007278
EIF5A|NM_001143760
EIF5A|NM_001370420
EIF5A|NM_001970
EIF5A|NM_001143761
EIF5A|NM_001370421
EIF5A|NM_001143762
EIF4A1|NM_001416
TTC19|NM_001271420
POLDIP2|NM_015584
POLDIP2|NM_001290145
KIAA0100|NM_001321560
KIAA0100|NM_001363827
SDF2|NM_006923
ERAL1|NM_005702
ZNF207|NM_003457
ZNF207|NM_001098507
ZNHIT3|NM_001281434
ZNHIT3|NM_004773
MRPL45|NM_001278279
MRPL45|NM_032351
PSMB3|NM_002795
CASC3|NM_007359
EIF1|NM_005801
ACLY|NM_001096
ACLY|NM_198830
ACLY|NM_001303275
RAB5C|NM_001252039
STAT3|NM_001384992
COASY|NM_001042529
MLX|NM_198205
MLX|NM_198204
BECN1|NM_001313999
BECN1|NM_001313998
BECN1|NM_003766
RPL27|NM_001349921
RPL27|NM_000988
KPNB1|NM_002265
KPNB1|NM_001276453
CALCOCO2|NM_001261390
UBE2Z|NM_023079
SPOP|NM_001370732
SPOP|NM_001370731
SPOP|NM_001007228
SPOP|NM_001007230
LRRC59|NM_018509
RSAD1|NM_018346
SUPT4H1|NM_003168
CLTC|NM_001288653
CLTC|NM_004859
DDX42|NM_203499
DDX42|NM_007372
